admonisher.n.01	restrain.v.03	person.n.01	restrain.v.03	person.n.01	restrain.v.03	admonisher.n.01	hold.v.22	bag.n.01
kite.n.03	fly.v.01	person.n.01	fly.v.01	kite.n.03	fly.v.01	person.n.01	play.v.01	kite.n.03
kite.n.03	fly.v.01	sky.n.01	fly.v.01	kite.n.03	fly.v.01	bird.n.01	fly.v.01	airplane.n.01
laptop.n.01	have.v.01	keyboard.n.01	have.v.01	chair.n.01	have.v.01	bag.n.01	have.v.01	monitor.n.05
laptop.n.01	have.v.01	monitor.n.04	have.v.01	laptop.n.01	have.v.01	monitor.n.04	own.v.01	laptop.n.01
laptop.n.01	lie.v.01	chair.n.01	lie.v.01	chair.n.01	rest.v.01	chair.n.01	sit.v.01	chair.n.01
manner.n.01	transport.v.02	doughnut.n.02	transport.v.02	train.n.01	serve.v.06	doughnut.n.02	carry.v.02	bag.n.01
monitor.n.04	have.v.02	clock.n.01	have.v.02	monitor.n.04	have.v.02	clock.n.01	have.v.02	television.n.01
monitor.n.05	have	mouse.n.04	have	mouse.n.01	have	keyboard.n.01	have	monitor.n.04
motorcycle.n.01	have	helmet.n.02	have	helmet.n.01	wear.v.01	helmet.n.02	drive.v.01	motorcycle.n.01
motorcycle.n.01	have.v.01	bag.n.01	have.v.01	bag.n.01	carry.v.02	bag.n.04	wear.v.01	necktie.n.01
motorcycle.n.01	have.v.01	cup.n.01	have.v.01	motorcycle.n.01	have.v.01	cup.n.01	have.v.01	necktie.n.01
motorcycle.n.01	have.v.01	engine.n.01	have.v.01	helmet.n.01	drive.v.01	motorcycle.n.01	operate.v.01	engine.n.01
motorcycle.n.01	have.v.01	helmet.n.01	have.v.01	helmet.n.01	wear.v.01	helmet.n.01	drive.v.01	motorcycle.n.01
motorcycle.n.01	have.v.01	person.n.01	have.v.01	motorcycle.n.01	drive.v.01	motorcycle.n.01	own.v.01	motorcycle.n.01
motorcycle.n.01	have.v.01	plate.n.02	have.v.01	helmet.n.01	have.v.01	jacket.n.01	have.v.01	plate.n.03
motorcycle.n.01	have.v.02	bag.n.01	have.v.02	helmet.n.01	have.v.02	bag.n.04	have.v.02	jacket.n.01
motorcycle.n.01	have.v.02	box.n.01	have.v.02	helmet.n.01	have.v.02	engine.n.01
motorcycle.n.01	incorporate.v.02	box.n.01	incorporate.v.02	helmet.n.01	incorporate.v.02	jacket.n.01	incorporate.v.02	sports_ball
motorcycle.n.01	keep.v.01	bottle.n.01	keep.v.01	broccoli.n.01	keep.v.01	bottle.n.01	keep.v.01	plant.n.01
motorcycle.n.01	keep.v.01	tree.n.01	drive.v.01	motorcycle.n.01	keep.v.01	tree.n.01	wear.v.01	helmet.n.01
motorcycle.n.01	lean.v.02	building.n.01	lean.v.02	building.n.01	drive.v.01	motorcycle.n.01	stand.v.02	tower.n.01
motorcycle.n.01	lean_on.v.01	tree.n.01	lean_on.v.01	tree.n.01	rest_on	chair.n.01	sit_on	sofa.n.01
motorcycle.n.01	park.v.01	road.n.01	park.v.01	motorcycle.n.01	park.v.01	road.n.01	drive.v.01	motorcycle.n.01
motorcycle.n.01	park.v.02	grass.n.01	park.v.02	truck.n.01	park.v.02	bicycle.n.01	park.v.02	car.n.01
motorcycle.n.01	park.v.02	street.n.01	park.v.02	motorcycle.n.01	drive.v.01	motorcycle.n.01	stand.v.01	street.n.01
motorcycle.n.01	ride.v.02	street.n.02	ride.v.02	motorcycle.n.01	ride.v.02	street.n.02	drive.v.01	motorcycle.n.01
motorcycle.n.01	sit.v.02	motorcycle.n.01	sit.v.02	motorcycle.n.01	ride.v.01	motorcycle.n.01	wear.v.05	helmet.n.01
motorcycle.n.01	stand.v.01	street.n.02	stand.v.01	motorcycle.n.01	stand.v.01	street.n.02	park.v.01	motorcycle.n.01
motorcycle.n.01	stand.v.03	street.n.02	stand.v.03	motorcycle.n.01	stand.v.03	street.n.02	drive.v.01	motorcycle.n.01
motorcycle.n.01	touch.v.01	motorcycle.n.01	touch.v.01	helmet.n.01	ride.v.01	motorcycle.n.01	wear.v.01	jacket.n.01
motorcycle.n.01	transport.v.02	person.n.01	transport.v.02	motorcycle.n.01	drive.v.01	motorcycle.n.01	wear.v.01	helmet.n.01
mountain.n.01	against	sky.n.01	against	sky.n.01	lean.v.02	mountain.n.01	stand.v.01	mountain.n.01
mountain.n.01	have.v.01	bush.n.02	have.v.01	mountain.n.01	have.v.01	bush.n.02	have.v.01	sport.n.01
mountain.n.01	have.v.01	grass.n.01	have.v.01	mountain.n.01	have.v.01	grass.n.01	have.v.01	chair.n.01
mouse.n.04	attach_to.v.01	laptop.n.01	attach_to	laptop.n.01
necktie.n.01	touch.v.01	shirt.n.01	touch.v.01	necktie.n.01	touch.v.01	shirt.n.01	wear.v.01	necktie.n.01
oven.n.01	have.v.01	clock.n.01	have.v.01	oven.n.01	have.v.01	clock.n.01	use.v.01	toaster.n.01
paper.n.01	against	person.n.01	against	person.n.01	against	chair.n.01	against	table.n.01
person.n.01	adjust.v.01	ski.n.01	adjust.v.01	ski.n.01	adjust.v.01	helmet.n.01	adjust.v.01	coat.n.03
person.n.01	against	person.n.01	against	sport.n.01	against	bowl.n.01	against	helmet.n.01
person.n.01	align.v.01	necktie.n.01	wear.v.01	necktie.n.01	align.v.01	shirt.n.01	attach.v.01	coat.n.01
person.n.01	align.v.01	snowboard.n.01	align.v.01	snowboard.n.01	wear.v.01	helmet.n.01	ride.v.01	sport.n.01
person.n.01	assemble.v.01	kite.n.01	assemble.v.01	kite.n.01	attach.v.01	person.n.01	produce.v.02	kite.n.01
person.n.01	attach_to	kite.n.03	attach_to	kite.n.01	attach_to	necktie.n.01	attach_to	backpack.n.01
person.n.01	audit.v.01	airplane.n.01	audit.v.01	airplane.n.01	audit.v.01	person.n.01	inspect.v.01	airplane.n.01
person.n.01	beckon.v.01	bus.n.01	drive.v.01	bus.n.01	sit.v.01	chair.n.01	wear.v.01	necktie.n.01
person.n.01	blow.v.01	cake.n.01	blow.v.01	cake.n.01	blow.v.01	face.n.01	blow.v.01	broccoli.n.01
person.n.01	board.v.01	airplane.n.01	board.v.01	train.n.01	board.v.01	boat.n.01	board.v.01	bus.n.01
person.n.01	board.v.01	boat.n.01	board.v.01	train.n.01	board.v.01	bus.n.01	board.v.01	airplane.n.01
person.n.01	board.v.01	bus.n.01	board.v.01	train.n.01	board.v.01	boat.n.01	board.v.01	airplane.n.01
person.n.01	board.v.01	car.n.01	drive.v.01	car.n.01	board.v.01	train.n.01	ride.v.01	bicycle.n.01
person.n.01	board.v.01	train.n.01	board.v.01	train.n.01	carry.v.02	bag.n.01	wear.v.01	coat.n.01
person.n.01	break.v.05	baseball_bat.n.01	break.v.05	baseball_bat.n.01	play.v.05	sport.n.01	hold.v.22	hand.n.08
person.n.01	brush.v.01	toothbrush.n.01	brush.v.01	face.n.01	wash.v.01	toothbrush.n.01	hold.v.22	person.n.01
person.n.01	buy.v.01	banana.n.01	buy.v.01	banana.n.01	eat.v.01	banana.n.01	hold.v.02	banana.n.01
person.n.01	buy.v.01	doughnut.n.02	buy.v.01	broccoli.n.01	buy.v.01	cake.n.01	buy.v.01	pizza.n.01
person.n.01	buy.v.01	orange.n.01	buy.v.01	broccoli.n.01	buy.v.01	sports_ball	buy.v.01	bicycle.n.01
person.n.01	buy.v.01	pizza.n.01	buy.v.01	pizza.n.01	buy.v.01	broccoli.n.01	buy.v.01	sandwich.n.01
person.n.01	carry.v.02	backpack.n.01	carry.v.02	backpack.n.01	wear.v.01	coat.n.01	hold.v.10	bottle.n.01
person.n.01	carry.v.02	bag.n.04	carry.v.02	backpack.n.01	wear.v.01	coat.n.03	hold.v.11	baseball_bat.n.01
person.n.01	carry.v.02	baggage.n.01	carry.v.02	bag.n.01	wear.v.01	necktie.n.01	hold.v.22	baseball_bat.n.01
person.n.01	carry.v.02	ball.n.01
person.n.01	carry.v.02	baseball_bat.n.01	carry.v.02	baseball_glove.n.01	play.v.05	sport.n.01	wear.v.01	helmet.n.01
person.n.01	carry.v.02	bicycle.n.01	carry.v.02	bicycle.n.01	wear.v.01	helmet.n.01	hold.v.11	bag.n.01
person.n.01	carry.v.02	bottle.n.01	carry.v.02	bag.n.01	carry.v.02	sports_ball	carry.v.02	backpack.n.01
person.n.01	carry.v.02	camera.n.01	carry.v.02	bag.n.01	carry.v.02	camera.n.01	carry.v.02	sports_ball
person.n.01	carry.v.02	carrot.n.01	carry.v.02	necktie.n.01	hold.v.11	bag.n.01	wear.v.02	helmet.n.01
person.n.01	carry.v.02	dog.n.01	carry.v.02	bag.n.01	carry.v.02	dog.n.01	carry.v.02	sports_ball
person.n.01	carry.v.02	keyboard.n.01	carry.v.02	bag.n.01	carry.v.02	coat.n.01	carry.v.02	backpack.n.01
person.n.01	carry.v.02	kite.n.03	carry.v.02	kite.n.03	play.v.05	kite.n.03	own.v.01	kite.n.03
person.n.01	carry.v.02	plate.n.02	carry.v.02	bag.n.01	carry.v.02	plate.n.03	carry.v.02	chair.n.01
person.n.01	carry.v.02	sandwich.n.01	carry.v.02	bag.n.01	carry.v.02	backpack.n.01	carry.v.02	bowl.n.01
person.n.01	carry.v.02	sheep.n.01	carry.v.02	bag.n.01	carry.v.02	chair.n.01	carry.v.02	bicycle.n.01
person.n.01	carry.v.02	skateboard.n.01	carry.v.02	backpack.n.01	carry.v.02	helmet.n.01	carry.v.02	sports_ball
person.n.01	carry.v.02	sunglasses.n.01	carry.v.02	bag.n.01	wear.v.05	sunglasses.n.01	hold.v.02	hat.n.01
person.n.01	carry.v.02	teddy.n.01	carry.v.02	bag.n.01	carry.v.02	hat.n.01	carry.v.02	backpack.n.01
person.n.01	carry.v.02	tennis_racket.n.01	carry.v.02	tennis_racket.n.01	play.v.05	sport.n.01	wear.v.01	necktie.n.01
person.n.01	catch.v.04	ball.n.01	catch.v.04	sports_ball	catch.v.04	baseball_glove.n.01	catch.v.04	hand.n.08
person.n.01	catch.v.04	frisbee.n.01	play.v.01	sport.n.01	hold.v.22	hand.n.08	throw.v.01	frisbee.n.01
person.n.01	chase.v.01	bird.n.01	chase.v.01	sport.n.01	chase.v.01	dog.n.01	chase.v.01	cat.n.01
person.n.01	chase.v.01	cat.n.01	chase.v.01	cat.n.01	chase.v.01	person.n.01	chase.v.01	mouse.n.01
person.n.01	chase.v.01	dog.n.01	chase.v.01	dog.n.01	chase.v.01	person.n.01	chase.v.01	sports_ball
person.n.01	check.v.01	parking_meter.n.01	check.v.01	parking_meter.n.01	check.v.01	chair.n.01	check.v.01	bicycle.n.01
person.n.01	check.v.02	clock.n.01	check.v.02	clock.n.01	check.v.02	monitor.n.05	check.v.02	traffic_light.n.01
person.n.01	clean.v.01	dining_table.n.01	clean.v.01	dining_table.n.01	clean.v.01	sink.n.01	clean.v.01	chair.n.01
person.n.01	clean.v.01	oven.n.01	clean.v.01	oven.n.01	use.v.01	oven.n.01	serve.v.06	broccoli.n.01
person.n.01	clean.v.01	toilet.n.01	clean.v.01	sink.n.01	clean.v.01	chair.n.01	clean.v.01	toilet.n.02
person.n.01	confront.v.03	street.n.01	confront.v.03	person.n.01	confront.v.03	street.n.01	confront.v.03	traffic_light.n.01
person.n.01	cook.v.01	hotdog.n.02	cook.v.01	broccoli.n.01	cook.v.01	pizza.n.01	cook.v.01	sandwich.n.01
person.n.01	cook.v.01	sandwich.n.01	cook.v.01	sandwich.n.01	cook.v.01	person.n.01	serve.v.06	sandwich.n.01
person.n.01	cook.v.02	pizza.n.01	cook.v.02	broccoli.n.01	cook.v.02	cake.n.01	cook.v.02	hotdog.n.02
person.n.01	cream.v.02	person.n.01	cream.v.02	sport.n.01	cream.v.02	person.n.01	cream.v.02	face.n.01
person.n.01	crunch.v.02	skateboard.n.01	ride.v.01	skateboard.n.01	wear.v.05	helmet.n.01	stand.v.01	person.n.01
person.n.01	cut.v.01	apple.n.01	cut.v.01	broccoli.n.01	cut.v.01	cake.n.01	cut.v.01	pizza.n.01
person.n.01	cut.v.01	banana.n.01	cut.v.01	broccoli.n.01	cut.v.01	apple.n.01	cut.v.01	carrot.n.01
person.n.01	cut.v.01	carrot.n.01	cut.v.01	carrot.n.01	cut.v.01	broccoli.n.01	cut.v.01	apple.n.01
person.n.01	cut.v.01	necktie.n.01	wear.v.05	necktie.n.01	cut.v.01	necktie.n.01	serve.v.06	person.n.01
person.n.01	cut.v.01	sandwich.n.01	cut.v.01	sandwich.n.01	serve.v.06	sandwich.n.01	eat.v.01	sandwich.n.01
person.n.01	cut.v.01	scissors.n.01	cut.v.01	broccoli.n.01	cut.v.01	paper.n.01	cut.v.01	necktie.n.01
person.n.01	cut.v.04	cake.n.03	cut.v.04	cake.n.03	serve.v.06	cake.n.03	eat.v.01	cake.n.03
person.n.01	cut.v.04	orange.n.01	cut.v.04	broccoli.n.01	cut.v.04	apple.n.01	cut.v.04	cake.n.01
person.n.01	cut.v.04	pizza.n.01	cut.v.04	pizza.n.01	serve.v.06	pizza.n.01	eat.v.01	pizza.n.01
person.n.01	cut.v.28	broccoli.n.01	cut.v.28	broccoli.n.01	produce.v.02	plant.n.02	serve.v.06	person.n.01
person.n.01	decant.v.01	cup.n.01	decant.v.01	cup.n.01	hold.v.02	cup.n.01
person.n.01	direct.v.01	car.n.01	drive.v.01	car.n.01	own.v.01	person.n.01	park.v.01	car.n.01
person.n.01	discipline.v.01	horse.n.01	discipline.v.01	sport.n.01	discipline.v.01	person.n.01	ride.v.01	horse.n.01
person.n.01	drag.v.01	bag.n.06	drag.v.01	bag.n.01	drag.v.01	backpack.n.01
person.n.01	drag.v.01	surfboard.n.01	drag.v.01	surfboard.n.01	ride.v.01	surfboard.n.01	play.v.05	sport.n.01
person.n.01	dress.v.15	dog.n.01	wear.v.01	necktie.n.01	dress.v.15	shirt.n.01	carry.v.02	bag.n.01
person.n.01	dribble.v.03	ball.n.01	dribble.v.03	sports_ball	carry.v.02	ball.n.01	play.v.05	sport.n.01
person.n.01	drink.v.01	bottle.n.01	drink.v.01	person.n.01	drink.v.01	bottle.n.01	drink.v.01	cup.n.01
person.n.01	drink.v.01	cup.n.01	drink.v.01	beer.n.01	drink.v.01	wine.n.01	drink.v.01	orange.n.01
person.n.01	drive.v.01	boat.n.01	drive.v.01	car.n.01	drive.v.01	truck.n.01	drive.v.01	motorcycle.n.01
person.n.01	drive.v.01	bus.n.01	drive.v.01	bus.n.01	operate.v.01	bus.n.01	transport.v.02	bus.n.01
person.n.01	drive.v.01	car.n.01	drive.v.01	truck.n.01	drive.v.01	motorcycle.n.01	drive.v.01	van.n.05
person.n.01	drive.v.01	elephant.n.01	drive.v.01	truck.n.01	drive.v.01	car.n.01	drive.v.01	motorcycle.n.01
person.n.01	drive.v.01	motorcycle.n.01	drive.v.01	motorcycle.n.01	drive.v.01	person.n.01	ride.v.01	motorcycle.n.01
person.n.01	drive.v.01	train.n.01	drive.v.01	car.n.01	drive.v.01	bus.n.01	drive.v.01	motorcycle.n.01
person.n.01	drive.v.01	truck.n.01	drive.v.01	truck.n.01	operate.v.03	truck.n.01	park.v.01	truck.n.01
person.n.01	dry.v.01	cat.n.01	dry.v.01	shirt.n.01	dry.v.01	coat.n.01
person.n.01	dry.v.01	dog.n.01	dry.v.01	dog.n.01	wash.v.02	dog.n.01	feed.v.02	dog.n.01
person.n.01	eat.v.01	banana.n.01	eat.v.01	broccoli.n.01	eat.v.01	pizza.n.01	eat.v.01	hotdog.n.02
person.n.01	eat.v.01	cake.n.03	eat.v.01	broccoli.n.01	serve.v.06	cake.n.03	feed.v.01	cow.n.01
person.n.01	eat.v.01	carrot.n.01	eat.v.01	broccoli.n.01	eat.v.01	hotdog.n.02	eat.v.01	pizza.n.01
person.n.01	eat.v.01	doughnut.n.02	eat.v.01	broccoli.n.01	eat.v.01	hotdog.n.02	eat.v.01	pizza.n.01
person.n.01	eat.v.01	hotdog.n.02	eat.v.01	broccoli.n.01	eat.v.01	pizza.n.01	eat.v.01	sandwich.n.01
person.n.01	eat.v.01	orange.n.01	eat.v.01	broccoli.n.01	eat.v.01	pizza.n.01	eat.v.01	hotdog.n.02
person.n.01	eat.v.01	pizza.n.01	eat.v.01	broccoli.n.01	eat.v.01	hotdog.n.02	eat.v.01	cake.n.01
person.n.01	eat.v.02	dining_table.n.01	eat.v.02	broccoli.n.01	sit.v.01	chair.n.01	serve.v.06	plate.n.03
person.n.01	eat.v.02	sandwich.n.01	eat.v.02	sandwich.n.01	serve.v.06	dining_table.n.01	feed.v.02	cow.n.01
person.n.01	embrace.v.02	cat.n.01	embrace.v.02	person.n.01	embrace.v.02	cat.n.01	hold.v.22	cat.n.01
person.n.01	embrace.v.02	cow.n.01	embrace.v.02	person.n.01	embrace.v.02	cow.n.01	squeeze.v.02	hand.n.08
person.n.01	embrace.v.02	horse.n.01	embrace.v.02	person.n.01	ride.v.01	horse.n.01	feed.v.02	horse.n.01
person.n.01	embrace.v.02	person.n.01	embrace.v.02	person.n.01	embrace.v.02	chair.n.01	embrace.v.02	dog.n.01
person.n.01	embrace.v.02	sheep.n.01	embrace.v.02	person.n.01	embrace.v.02	sheep.n.01	squeeze.v.02	hand.n.01
person.n.01	embrace.v.02	teddy.n.01	embrace.v.02	person.n.01	squeeze.v.02	teddy.n.01	hold.v.22	teddy.n.01
person.n.01	exit.v.01	airplane.n.01	exit.v.01	airplane.n.01	move.v.02	person.n.01
person.n.01	exit.v.01	boat.n.01	exit.v.01	person.n.01	exit.v.01	boat.n.01	move.v.02	person.n.01
person.n.01	exit.v.01	bus.n.01	exit.v.01	bus.n.01	exit.v.01	person.n.01	drive.v.01	bus.n.01
person.n.01	exit.v.01	train.n.01	exit.v.01	train.n.01	move.v.02	person.n.01
person.n.01	face.v.05	bus.n.01	drive.v.01	bus.n.01	face.v.05	face.n.01	wear.v.05	necktie.n.01
person.n.01	feed.v.01	bear.n.01	feed.v.01	broccoli.n.01	feed.v.01	hotdog.n.02	feed.v.01	pizza.n.01
person.n.01	feed.v.02	bird.n.01	feed.v.02	broccoli.n.01	feed.v.02	cat.n.01	feed.v.02	pizza.n.01
person.n.01	feed.v.02	cow.n.01	feed.v.02	cow.n.01	feed.v.02	broccoli.n.01	feed.v.02	dog.n.01
person.n.01	feed.v.02	dog.n.01	feed.v.02	broccoli.n.01	feed.v.02	hotdog.n.02	feed.v.02	pizza.n.01
person.n.01	feed.v.02	elephant.n.01	feed.v.02	broccoli.n.01	feed.v.02	cow.n.01	feed.v.02	elephant.n.01
person.n.01	feed.v.02	giraffe.n.01	feed.v.02	broccoli.n.01	feed.v.02	giraffe.n.01	feed.v.02	cow.n.01
person.n.01	feed.v.02	horse.n.01	feed.v.02	broccoli.n.01	feed.v.02	carrot.n.01	feed.v.02	apple.n.01
person.n.01	feed.v.02	person.n.01	feed.v.02	broccoli.n.01	feed.v.02	hotdog.n.02	feed.v.02	pizza.n.01
person.n.01	feed.v.02	sheep.n.01	feed.v.02	sheep.n.01	feed.v.02	broccoli.n.01	feed.v.02	cow.n.01
person.n.01	feed.v.02	zebra.n.01	feed.v.02	broccoli.n.01	feed.v.02	apple.n.01	feed.v.02	hotdog.n.02
person.n.01	fill.v.01	cup.n.01	fill.v.01	bowl.n.01	fill.v.01	vase.n.01	fill.v.01	glass.n.01
person.n.01	fleece.v.02	sheep.n.01	fleece.v.02	sheep.n.01	wear.v.01	coat.n.03	feed.v.01	person.n.01
person.n.01	flip.v.05	skateboard.n.01	ride.v.01	skateboard.n.01	wear.v.05	helmet.n.01
person.n.01	flush.v.02	toilet.n.01	flush.v.02	toilet.n.01	sit.v.01	chair.n.01	wear.v.01	necktie.n.01
person.n.01	fly.v.01	airplane.n.01	fly.v.01	kite.n.01	fly.v.01	bird.n.01	fly.v.01	airplane.n.01
person.n.01	fly.v.01	kite.n.01	fly.v.01	bird.n.01	fly.v.01	airplane.n.01	fly.v.01	kite.n.03
person.n.01	follow.v.01	person.n.01	follow.v.01	person.n.01	follow.v.01	dog.n.01	follow.v.01	cat.n.01
person.n.01	front.v.01	person.n.01	face.v.05	face.n.01	front.v.01	chair.n.01	stand.v.02	table.n.01
person.n.01	greet.v.01	person.n.01	greet.v.01	person.n.01	greet.v.01	person.n.02	greet.v.01	chair.n.01
person.n.01	grind.v.07	snowboard.n.01	ride.v.01	snowboard.n.01	wear.v.05	helmet.n.01
person.n.01	groom.v.03	horse.n.01	groom.v.03	person.n.01	groom.v.03	face.n.01	groom.v.03	coat.n.01
person.n.01	have.v.01	bag.n.01	have.v.01	backpack.n.01	have.v.01	coat.n.01	have.v.01	sports_ball
person.n.01	have.v.01	bag.n.06	have.v.01	bag.n.01	own.v.01	backpack.n.01
person.n.01	have.v.01	ball.n.01	have.v.01	sports_ball	have.v.01	baseball_glove.n.01	play.v.01	sport.n.01
person.n.01	have.v.01	basket.n.01	have.v.01	bag.n.01	have.v.01	bicycle.n.01	have.v.01	monitor.n.05
person.n.01	have.v.01	bed.n.01	have.v.01	chair.n.01	have.v.01	desk.n.01	have.v.01	pillow.n.01
person.n.01	have.v.01	bicycle.n.01	have.v.01	bicycle.n.01	own.v.01	bicycle.n.01	ride.v.01	bicycle.n.01
person.n.01	have.v.01	bottle.n.01	have.v.01	bag.n.01	have.v.01	chair.n.01	have.v.01	helmet.n.01
person.n.01	have.v.01	box.n.01	have.v.01	sport.n.01	have.v.01	bag.n.01	have.v.01	chair.n.01
person.n.01	have.v.01	camera.n.01	have.v.01	camera.n.01	own.v.01	camera.n.01	carry.v.02	camera.n.01
person.n.01	have.v.01	cat.n.01	have.v.01	cat.n.01	own.v.01	cat.n.01	pet.v.01	cat.n.01
person.n.01	have.v.01	coat.n.01	have.v.01	necktie.n.01	have.v.01	hat.n.01	have.v.01	jacket.n.01
person.n.01	have.v.01	cow.n.01	have.v.01	broccoli.n.01	have.v.01	sports_ball	have.v.01	bicycle.n.01
person.n.01	have.v.01	cup.n.01	have.v.01	cup.n.01	drink.v.01	cup.n.01	hold.v.22	cup.n.01
person.n.01	have.v.01	dog.n.01	have.v.01	dog.n.01	own.v.01	dog.n.01	pet.v.01	dog.n.01
person.n.01	have.v.01	face.n.01	have.v.01	face.n.01	have.v.01	face.n.07	wear.v.01	necktie.n.01
person.n.01	have.v.01	helmet.n.01	have.v.01	helmet.n.01	wear.v.01	helmet.n.01	own.v.01	helmet.n.01
person.n.01	have.v.01	horse.n.01	have.v.01	sport.n.01	own.v.01	horse.n.01
person.n.01	have.v.01	jacket.n.01	have.v.01	necktie.n.01	wear.v.01	coat.n.01	own.v.01	bag.n.01
person.n.01	have.v.01	laptop.n.01	have.v.01	laptop.n.01	own.v.01	laptop.n.01	use.v.01	laptop.n.01
person.n.01	have.v.01	motorcycle.n.01	have.v.01	motorcycle.n.01	ride.v.01	motorcycle.n.01	own.v.01	motorcycle.n.01
person.n.01	have.v.01	mouse.n.01	have.v.01	chair.n.01	have.v.01	bag.n.01	have.v.01	monitor.n.05
person.n.01	have.v.01	necktie.n.01	have.v.01	necktie.n.01	wear.v.05	necktie.n.01	own.v.01	necktie.n.01
person.n.01	have.v.01	paper.n.01	have.v.01	paper.n.01	own.v.01	paper.n.01	carry.v.02	paper.n.01
person.n.01	have.v.01	person.n.01	have.v.01	sport.n.01	have.v.01	necktie.n.01	have.v.01	chair.n.01
person.n.01	have.v.01	plate.n.03	have.v.01	broccoli.n.01	own.v.01	vase.n.01
person.n.01	have.v.01	shirt.n.01	have.v.01	necktie.n.01	have.v.01	coat.n.01	have.v.01	jean.n.01
person.n.01	have.v.01	short_pants.n.01	have.v.01	short_pants.n.01	wear.v.01	shirt.n.01	own.v.01	bicycle.n.01
person.n.01	have.v.01	skateboard.n.01	have.v.01	skateboard.n.01	ride.v.01	skateboard.n.01	wear.v.01	helmet.n.01
person.n.01	have.v.01	ski.n.01	have.v.01	ski.n.01	have.v.01	sport.n.01	have.v.01	helmet.n.01
